Case Type,Filing Date,Registration Date,CNR Number,First Hearing Date,Decision Date,Case Status,Nature of Disposal,Under Act,Under Section
1,12/01/2023,8/17/2023,MHPU010043232023,16/06/2023,15/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,151 dar
2,04/07/2023,8/11/2023,MHPU010063022023,02/09/2024,27/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,o21
3,14/04/2023,6/26/2023,MHPU010043232023,04/07/2023,15/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,151 dar
4,22/03/2023,1/5/2023,MHPU010043232023,06/01/2023,21/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
5,24/03/2023,2/4/2023,MHPU010155972023,21/07/2023,18/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,151 dar
6,02/11/2023,7/15/2023,MHPU010170062023,26/05/2024,01/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
7,03/09/2023,9/25/2023,MHPU010176002023,19/03/2023,12/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,166
8,11/12/2023,3/17/2023,MHPU010086342023,28/08/2024,23/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,o21
9,10/10/2023,3/30/2023,MHPU010074592023,04/11/2023,11/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
10,08/02/2023,5/22/2023,MHPU010155972023,11/08/2024,11/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,140
11,04/10/2023,8/18/2023,MHPU010060312023,26/04/2023,13/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,151 dar
12,31/03/2023,12/27/2023,MHPU010112742023,29/01/2023,25/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,166
13,03/12/2023,2/21/2023,MHPU010170062023,08/05/2023,06/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
14,07/07/2023,3/4/2023,MHPU010043232023,23/01/2024,24/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
15,07/05/2023,12/2/2023,MHPU010060312023,24/10/2023,27/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,151 dar
16,08/04/2023,3/25/2023,MHPU010074592023,31/08/2023,05/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,151 dar
17,28/02/2023,8/23/2023,MHPU010064392023,28/10/2023,15/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
18,13/11/2023,3/4/2023,MHPU010063022023,31/10/2023,18/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
19,15/07/2023,3/11/2023,MHPU010064392023,05/08/2023,27/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
20,26/07/2023,3/9/2023,MHPU010176002023,13/07/2024,16/09/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,40
21,15/07/2023,3/27/2023,MHPU010112742023,09/12/2023,30/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,o21
22,05/02/2023,4/12/2023,MHPU010170062023,14/01/2024,11/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,151 dar
23,21/10/2023,1/18/2023,MHPU010112742023,09/07/2023,24/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
24,01/03/2023,10/27/2023,MHPU010101462023,07/02/2024,07/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
